id,timestamp,action,user_id,document_id,extraction_request_id,details,ip_address,user_agent
43,2025-08-07T10:07:42.333435,extraction_request,,13,13,"{""requirements"": ""This prompt outlines a comprehensive plan for a detailed analysis of a contract, focusing on extracting critical financial, legal, and operational information. It breaks down the process into four key areas:\r\n\r\n1. Payment and Financial Obligations\r\nThis task involves a deep dive into the financial aspects of the agreement. The goal is to create a complete picture of all money-related commitments and potential liabilities.\r\n\r\nPayment Obligations: Identify all instances where one party is required to make a payment. This includes the base fee, recurring charges, and any one-time costs.\r\n\r\nDue Dates: Pinpoint the specific deadlines for each payment. This could be a fixed date (e.g., \""the 5th of each month\"") or a condition (e.g., \""30 days after invoice receipt\"").\r\n\r\nFinancial Penalties: Find all clauses that describe consequences for late or missed payments, such as late fees, interest charges, or other financial repercussions.\r\n\r\n2. Tabular Data Extraction\r\nContracts often use tables to organize complex information clearly. This task focuses on pulling this structured data to ensure accuracy and ease of use.\r\n\r\nPricing Tables: Extract all data from tables that detail the cost of services, products, or rates. This can include tiered pricing, hourly rates, or itemized lists.\r\n\r\nSchedules: Identify and extract information from tables that outline project timelines, delivery schedules, or service-level agreements (SLAs).\r\n\r\nStructured Data: The output should maintain the structure of the original table, making it easy to analyze or import into other systems for financial planning and project management.\r\n\r\n3. Termination and Penalty Provisions\r\nThis is a crucial step for risk assessment, as it clarifies the conditions under which the contract can be ended and the consequences of doing so.\r\n\r\nTermination Clauses: Locate the specific sections that describe the conditions for ending the contract. This includes termination for cause, termination for convenience, and the required notice period for each.\r\n\r\nPenalty Provisions: Identify any fees, liabilities, or financial penalties associated with early termination or a breach of contract. This could include early termination fees or liquidated damages.\r\n\r\n4. Core Contract Metadata\r\nThis final task focuses on extracting the foundational facts of the agreement. These are essential for filing, searching, and summarizing the contract.\r\n\r\nEffective Date: Extract the date the contract officially begins.\r\n\r\nParty Names: Identify the full legal names of all parties involved in the agreement.\r\n\r\nContract Value: Extract the total monetary value of the contract, if specified. This is often found in an introductory summary or a specific payment clause."", ""output_format"": ""json""}",192.168.1.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
42,2025-08-07T10:07:26.793396,document_upload,,13,,"{""filename"": ""IBP_Ankireddy_Cherlamcherla_Patel.pdf"", ""file_size"": 2949943, ""document_type"": ""pdf""}",192.168.1.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
41,2025-08-07T09:33:18.155645,extraction_failed,,12,12,"{""status"": ""flagged"", ""confidence_score"": 0.4440390998491477, ""processing_time"": 8.066673}",,
40,2025-08-07T09:33:10.036639,extraction_request,,12,12,"{""requirements"": ""Financial Obligations This involves identifying all payment obligations, including fixed amounts and recurring fees. You'll need to pinpoint the specific due dates for each payment and any associated financial penalties, such as late fees or interest charges, for missed or delayed payments. Tabular Data The goal here is to extract all structured information presented in tables. This includes pulling data from pricing tables that detail rates or service costs, as well as schedules that outline timelines or milestones. Termination Clauses This task focuses on finding all provisions related to ending the agreement. You must identify the conditions under which the contract can be terminated by either party, as well as any penalty provisions or liabilities that would be incurred for early termination. Key Contract Information This involves extracting the foundational metadata of the agreement. This includes identifying the effective date, the full names of the party names involved, and the total contract value if it is explicitly stated in the document."", ""output_format"": ""json""}",192.168.1.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
39,2025-08-07T09:32:48.258201,document_upload,,12,,"{""filename"": ""IBP_Ankireddy_Cherlamcherla_Patel.pdf"", ""file_size"": 2949943, ""document_type"": ""pdf""}",192.168.1.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
38,2025-08-07T09:26:07.428712,extraction_failed,,11,11,"{""status"": ""failed"", ""confidence_score"": null, ""processing_time"": 0.0}",,
37,2025-08-07T09:26:07.396350,extraction_request,,11,11,"{""requirements"": ""This prompt outlines a comprehensive plan for a detailed analysis of a contract, focusing on extracting critical financial, legal, and operational information. It breaks down the process into four key areas:\r\n\r\n1. Payment and Financial Obligations\r\nThis task involves a deep dive into the financial aspects of the agreement. The goal is to create a complete picture of all money-related commitments and potential liabilities.\r\n\r\nPayment Obligations: Identify all instances where one party is required to make a payment. This includes the base fee, recurring charges, and any one-time costs.\r\n\r\nDue Dates: Pinpoint the specific deadlines for each payment. This could be a fixed date (e.g., \""the 5th of each month\"") or a condition (e.g., \""30 days after invoice receipt\"").\r\n\r\nFinancial Penalties: Find all clauses that describe consequences for late or missed payments, such as late fees, interest charges, or other financial repercussions.\r\n\r\n2. Tabular Data Extraction\r\nContracts often use tables to organize complex information clearly. This task focuses on pulling this structured data to ensure accuracy and ease of use.\r\n\r\nPricing Tables: Extract all data from tables that detail the cost of services, products, or rates. This can include tiered pricing, hourly rates, or itemized lists.\r\n\r\nSchedules: Identify and extract information from tables that outline project timelines, delivery schedules, or service-level agreements (SLAs).\r\n\r\nStructured Data: The output should maintain the structure of the original table, making it easy to analyze or import into other systems for financial planning and project management.\r\n\r\n3. Termination and Penalty Provisions\r\nThis is a crucial step for risk assessment, as it clarifies the conditions under which the contract can be ended and the consequences of doing so.\r\n\r\nTermination Clauses: Locate the specific sections that describe the conditions for ending the contract. This includes termination for cause, termination for convenience, and the required notice period for each.\r\n\r\nPenalty Provisions: Identify any fees, liabilities, or financial penalties associated with early termination or a breach of contract. This could include early termination fees or liquidated damages.\r\n\r\n4. Core Contract Metadata\r\nThis final task focuses on extracting the foundational facts of the agreement. These are essential for filing, searching, and summarizing the contract.\r\n\r\nEffective Date: Extract the date the contract officially begins.\r\n\r\nParty Names: Identify the full legal names of all parties involved in the agreement.\r\n\r\nContract Value: Extract the total monetary value of the contract, if specified. This is often found in an introductory summary or a specific payment clause."", ""output_format"": ""json""}",192.168.1.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
36,2025-08-07T09:25:54.893045,document_upload,,11,,"{""filename"": ""IBP_Ankireddy_Cherlamcherla_Patel.pdf"", ""file_size"": 2949943, ""document_type"": ""pdf""}",192.168.1.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
35,2025-08-07T09:12:15.468355,data_export,,,10,"{""format"": ""csv"", ""filename"": ""extraction_10_IBP_Ankireddy_Cherlamcherla_Patel.csv""}",127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
34,2025-08-07T09:12:03.401263,extraction_completed,,10,10,"{""status"": ""completed"", ""confidence_score"": 85.0, ""processing_time"": 0.362695}",,
33,2025-08-07T09:12:03.017463,extraction_request,,10,10,"{""requirements"": ""Financial Obligations\r\nThis involves identifying all payment obligations, including fixed amounts and recurring fees. You'll need to pinpoint the specific due dates for each payment and any associated financial penalties, such as late fees or interest charges, for missed or delayed payments.\r\n\r\nTabular Data\r\nThe goal here is to extract all structured information presented in tables. This includes pulling data from pricing tables that detail rates or service costs, as well as schedules that outline timelines or milestones.\r\n\r\nTermination Clauses\r\nThis task focuses on finding all provisions related to ending the agreement. You must identify the conditions under which the contract can be terminated by either party, as well as any penalty provisions or liabilities that would be incurred for early termination.\r\n\r\nKey Contract Information\r\nThis involves extracting the foundational metadata of the agreement. This includes identifying the effective date, the full names of the party names involved, and the total contract value if it is explicitly stated in the document."", ""output_format"": ""json""}",127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
32,2025-08-07T09:11:22.295676,document_upload,,10,,"{""filename"": ""IBP_Ankireddy_Cherlamcherla_Patel.pdf"", ""file_size"": 2949943, ""document_type"": ""pdf""}",127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
31,2025-08-07T09:05:27.524898,extraction_completed,,9,9,"{""status"": ""completed"", ""confidence_score"": 1.3289099849147687, ""processing_time"": 6.738642}",,
30,2025-08-07T09:05:20.739918,extraction_request,,9,9,"{""requirements"": ""This prompt outlines a comprehensive plan for a detailed analysis of a contract, focusing on extracting critical financial, legal, and operational information. It breaks down the process into four key areas:\r\n\r\n1. Payment and Financial Obligations\r\nThis task involves a deep dive into the financial aspects of the agreement. The goal is to create a complete picture of all money-related commitments and potential liabilities.\r\n\r\nPayment Obligations: Identify all instances where one party is required to make a payment. This includes the base fee, recurring charges, and any one-time costs.\r\n\r\nDue Dates: Pinpoint the specific deadlines for each payment. This could be a fixed date (e.g., \""the 5th of each month\"") or a condition (e.g., \""30 days after invoice receipt\"").\r\n\r\nFinancial Penalties: Find all clauses that describe consequences for late or missed payments, such as late fees, interest charges, or other financial repercussions.\r\n\r\n2. Tabular Data Extraction\r\nContracts often use tables to organize complex information clearly. This task focuses on pulling this structured data to ensure accuracy and ease of use.\r\n\r\nPricing Tables: Extract all data from tables that detail the cost of services, products, or rates. This can include tiered pricing, hourly rates, or itemized lists.\r\n\r\nSchedules: Identify and extract information from tables that outline project timelines, delivery schedules, or service-level agreements (SLAs).\r\n\r\nStructured Data: The output should maintain the structure of the original table, making it easy to analyze or import into other systems for financial planning and project management.\r\n\r\n3. Termination and Penalty Provisions\r\nThis is a crucial step for risk assessment, as it clarifies the conditions under which the contract can be ended and the consequences of doing so.\r\n\r\nTermination Clauses: Locate the specific sections that describe the conditions for ending the contract. This includes termination for cause, termination for convenience, and the required notice period for each.\r\n\r\nPenalty Provisions: Identify any fees, liabilities, or financial penalties associated with early termination or a breach of contract. This could include early termination fees or liquidated damages.\r\n\r\n4. Core Contract Metadata\r\nThis final task focuses on extracting the foundational facts of the agreement. These are essential for filing, searching, and summarizing the contract.\r\n\r\nEffective Date: Extract the date the contract officially begins.\r\n\r\nParty Names: Identify the full legal names of all parties involved in the agreement.\r\n\r\nContract Value: Extract the total monetary value of the contract, if specified. This is often found in an introductory summary or a specific payment clause."", ""output_format"": ""json""}",127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
29,2025-08-07T09:05:07.899418,document_upload,,9,,"{""filename"": ""IBP_Ankireddy_Cherlamcherla_Patel.pdf"", ""file_size"": 2949943, ""document_type"": ""pdf""}",127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
28,2025-08-07T08:57:41.402088,extraction_failed,,8,8,"{""status"": ""failed"", ""confidence_score"": null, ""processing_time"": 0.220344}",,
27,2025-08-07T08:57:41.136835,extraction_request,,8,8,"{""requirements"": ""This prompt outlines a comprehensive plan for a detailed analysis of a contract, focusing on extracting critical financial, legal, and operational information. It breaks down the process into four key areas:\r\n\r\n1. Payment and Financial Obligations\r\nThis task involves a deep dive into the financial aspects of the agreement. The goal is to create a complete picture of all money-related commitments and potential liabilities.\r\n\r\nPayment Obligations: Identify all instances where one party is required to make a payment. This includes the base fee, recurring charges, and any one-time costs.\r\n\r\nDue Dates: Pinpoint the specific deadlines for each payment. This could be a fixed date (e.g., \""the 5th of each month\"") or a condition (e.g., \""30 days after invoice receipt\"").\r\n\r\nFinancial Penalties: Find all clauses that describe consequences for late or missed payments, such as late fees, interest charges, or other financial repercussions.\r\n\r\n2. Tabular Data Extraction\r\nContracts often use tables to organize complex information clearly. This task focuses on pulling this structured data to ensure accuracy and ease of use.\r\n\r\nPricing Tables: Extract all data from tables that detail the cost of services, products, or rates. This can include tiered pricing, hourly rates, or itemized lists.\r\n\r\nSchedules: Identify and extract information from tables that outline project timelines, delivery schedules, or service-level agreements (SLAs).\r\n\r\nStructured Data: The output should maintain the structure of the original table, making it easy to analyze or import into other systems for financial planning and project management.\r\n\r\n3. Termination and Penalty Provisions\r\nThis is a crucial step for risk assessment, as it clarifies the conditions under which the contract can be ended and the consequences of doing so.\r\n\r\nTermination Clauses: Locate the specific sections that describe the conditions for ending the contract. This includes termination for cause, termination for convenience, and the required notice period for each.\r\n\r\nPenalty Provisions: Identify any fees, liabilities, or financial penalties associated with early termination or a breach of contract. This could include early termination fees or liquidated damages.\r\n\r\n4. Core Contract Metadata\r\nThis final task focuses on extracting the foundational facts of the agreement. These are essential for filing, searching, and summarizing the contract.\r\n\r\nEffective Date: Extract the date the contract officially begins.\r\n\r\nParty Names: Identify the full legal names of all parties involved in the agreement.\r\n\r\nContract Value: Extract the total monetary value of the contract, if specified. This is often found in an introductory summary or a specific payment clause."", ""output_format"": ""json""}",192.168.1.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
26,2025-08-07T08:57:29.765275,document_upload,,8,,"{""filename"": ""Finance-Attachment #3_0.pdf"", ""file_size"": 380635, ""document_type"": ""pdf""}",192.168.1.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
25,2025-08-07T08:53:24.338867,extraction_failed,,7,7,"{""status"": ""failed"", ""confidence_score"": null, ""processing_time"": 0.228577}",,
24,2025-08-07T08:53:24.056721,extraction_request,,7,7,"{""requirements"": ""This prompt outlines a comprehensive plan for a detailed analysis of a contract, focusing on extracting critical financial, legal, and operational information. It breaks down the process into four key areas:\r\n\r\n1. Payment and Financial Obligations\r\nThis task involves a deep dive into the financial aspects of the agreement. The goal is to create a complete picture of all money-related commitments and potential liabilities.\r\n\r\nPayment Obligations: Identify all instances where one party is required to make a payment. This includes the base fee, recurring charges, and any one-time costs.\r\n\r\nDue Dates: Pinpoint the specific deadlines for each payment. This could be a fixed date (e.g., \""the 5th of each month\"") or a condition (e.g., \""30 days after invoice receipt\"").\r\n\r\nFinancial Penalties: Find all clauses that describe consequences for late or missed payments, such as late fees, interest charges, or other financial repercussions.\r\n\r\n2. Tabular Data Extraction\r\nContracts often use tables to organize complex information clearly. This task focuses on pulling this structured data to ensure accuracy and ease of use.\r\n\r\nPricing Tables: Extract all data from tables that detail the cost of services, products, or rates. This can include tiered pricing, hourly rates, or itemized lists.\r\n\r\nSchedules: Identify and extract information from tables that outline project timelines, delivery schedules, or service-level agreements (SLAs).\r\n\r\nStructured Data: The output should maintain the structure of the original table, making it easy to analyze or import into other systems for financial planning and project management.\r\n\r\n3. Termination and Penalty Provisions\r\nThis is a crucial step for risk assessment, as it clarifies the conditions under which the contract can be ended and the consequences of doing so.\r\n\r\nTermination Clauses: Locate the specific sections that describe the conditions for ending the contract. This includes termination for cause, termination for convenience, and the required notice period for each.\r\n\r\nPenalty Provisions: Identify any fees, liabilities, or financial penalties associated with early termination or a breach of contract. This could include early termination fees or liquidated damages.\r\n\r\n4. Core Contract Metadata\r\nThis final task focuses on extracting the foundational facts of the agreement. These are essential for filing, searching, and summarizing the contract.\r\n\r\nEffective Date: Extract the date the contract officially begins.\r\n\r\nParty Names: Identify the full legal names of all parties involved in the agreement.\r\n\r\nContract Value: Extract the total monetary value of the contract, if specified. This is often found in an introductory summary or a specific payment clause."", ""output_format"": ""json""}",192.168.1.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
23,2025-08-07T08:52:55.683584,document_upload,,7,,"{""filename"": ""Finance-Attachment #3_0.pdf"", ""file_size"": 380635, ""document_type"": ""pdf""}",192.168.1.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
22,2025-08-07T08:36:39.236472,extraction_completed,,6,6,"{""status"": ""completed"", ""confidence_score"": 1.0859399899431792, ""processing_time"": 5.725217}",,
21,2025-08-07T08:36:33.459345,extraction_request,,6,6,"{""requirements"": ""Find all payment obligations, due dates, and financial penalties, Extract all tabular data including pricing tables and schedules, Identify all termination clauses and penalty provisions in this contract, Extract the effective date, party names, and contract value from this agreement"", ""output_format"": ""json""}",127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
20,2025-08-07T08:36:18.699077,document_upload,,6,,"{""filename"": ""IBP_Ankireddy_Cherlamcherla_Patel.pdf"", ""file_size"": 2949943, ""document_type"": ""pdf""}",127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
19,2025-08-07T08:36:05.370707,data_export,,,5,"{""format"": ""json"", ""filename"": ""extraction_5_IBP_Ankireddy_Cherlamcherla_Patel.json""}",127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
18,2025-08-07T08:26:13.143835,extraction_completed,,5,5,"{""status"": ""completed"", ""confidence_score"": 1.0859399899431792, ""processing_time"": 6.631942}",,
17,2025-08-07T08:26:06.467380,extraction_request,,5,5,"{""requirements"": ""Find all payment obligations, due dates, and financial penalties, Extract all tabular data including pricing tables and schedules, Identify all termination clauses and penalty provisions in this contract, Extract the effective date, party names, and contract value from this agreement"", ""output_format"": ""json""}",127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
16,2025-08-07T08:26:02.263565,document_upload,,5,,"{""filename"": ""IBP_Ankireddy_Cherlamcherla_Patel.pdf"", ""file_size"": 2949943, ""document_type"": ""pdf""}",127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
15,2025-08-07T08:18:54.258025,extraction_completed,,4,4,"{""status"": ""completed"", ""confidence_score"": 1.1926066566098459, ""processing_time"": 6.471431}",,
14,2025-08-07T08:18:47.737697,extraction_request,,4,4,"{""requirements"": ""Find all payment obligations, due dates, and financial penalties, Extract all tabular data including pricing tables and schedules, Identify all termination clauses and penalty provisions in this contract, Extract the effective date, party names, and contract value from this agreement"", ""output_format"": ""json""}",127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
13,2025-08-07T08:18:34.077418,document_upload,,4,,"{""filename"": ""IBP_Ankireddy_Cherlamcherla_Patel.pdf"", ""file_size"": 2949943, ""document_type"": ""pdf""}",127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
12,2025-08-07T08:15:18.137140,extraction_completed,,3,3,"{""status"": ""completed"", ""confidence_score"": 0.8547619047619047, ""processing_time"": 1.14876}",,
11,2025-08-07T08:15:16.970595,extraction_request,,3,3,"{""requirements"": ""Find all payment obligations, due dates, and financial penalties, Extract all tabular data including pricing tables and schedules, Identify all termination clauses and penalty provisions in this contract, Extract the effective date, party names, and contract value from this agreement"", ""output_format"": ""json""}",127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
10,2025-08-07T08:15:07.426981,extraction_completed,,3,2,"{""status"": ""completed"", ""confidence_score"": 0.8547619047619047, ""processing_time"": 2.964549}",,
9,2025-08-07T08:15:04.413619,extraction_request,,3,2,"{""requirements"": ""Find all payment obligations, due dates, and financial penalties, Extract all tabular data including pricing tables and schedules, Identify all termination clauses and penalty provisions in this contract, Extract the effective date, party names, and contract value from this agreement"", ""output_format"": ""json""}",127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
8,2025-08-07T08:15:01.374071,document_upload,,3,,"{""filename"": ""Finance-Attachment #3_0.pdf"", ""file_size"": 380635, ""document_type"": ""pdf""}",127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
7,2025-08-07T08:14:38.992004,document_upload,,2,,"{""filename"": ""Finance-Attachment #3_0.pdf"", ""file_size"": 380635, ""document_type"": ""pdf""}",127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
6,2025-08-07T07:46:38.817051,data_export,,,1,"{""format"": ""xml"", ""filename"": ""extraction_1_IBP_Ankireddy_Cherlamcherla_Patel.xml""}",127.0.0.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
